sample name	SRR	Bam Download	Bam Progress	TCR sample name	TCR SRR	TCR SRR2	TCR Download	TCR Progress	Velo Progress	HLA Progress	Server	scp server	scp path	RNA_GSM			TCR_GSM
P47_Tumor	13181488			TCR_P47_Tumor	13181467									GSM4952958			GSM4952970
P55_Tumor	13181489			TCR_P55_Tumor	13181468									GSM4952959			GSM4952971
P57_Tumor	13181490			TCR_P57_Tumor	13181469									GSM4952960			GSM4952972
P57_Blood	13181491			TCR_P57_Blood	13181470									GSM4952961			GSM4952973
P58_Tumor	13181492			TCR_P58_Tumor	13181471									GSM4952962			GSM4952974
P58_Blood	13181493			TCR_P58_Blood	13181472									GSM4952963			GSM4952975
P60_Tumor	13181494			TCR_P60_Tumor	13181473									GSM4952964			GSM4952976
P60_Juxta	13181495			TCR_P60_Juxta	13181474									GSM4952965			GSM4952977
P60_Blood	13181496			TCR_P60_Blood	13181475									GSM4952966			GSM4952978
P61_Tumor	13181497			TCR_P61_Tumor	13181476									GSM4952967			GSM4952979
P61_Juxta	13181498			TCR_P61_Juxta	13181477									GSM4952968			GSM4952980
P61_Blood	13181499			TCR_P61_Blood	13181478									GSM4952969			GSM4952981
